Date,B1,B2,B3,B4,B5,B6,BB,LC,RH,PD,TMP,TMP2,TMP3
2021-11-19,5,23,52,53,59,18,2,3,56,2928,2021-11-19T22,,
2021-11-16,6,22,44,53,65,3,2,2,84,2911,2021-11-16T22,,
2021-11-12,30,32,42,46,48,15,2,2,71,2893,2021-11-12T22,,
2021-11-09,9,14,16,26,49,14,3,1,70,2911,2021-11-09T22,,
2021-11-05,10,15,20,66,68,18,5,1,69,2914,2021-11-05T22,,
2021-11-02,5,10,26,58,65,9,5,4,71,2913,2021-11-02T22,,
2021-10-29,15,26,28,35,45,4,4,4,92,2854,2021-10-29T22,,
2021-10-26,6,14,19,56,62,9,5,3,72,2882,2021-10-26T22,,
2021-10-22,9,14,26,29,66,22,2,3,78,2894,2021-10-22T22,,
2021-10-19,3,12,13,19,52,1,2,2,69,2914,2021-10-19T22,,
2021-10-15,3,20,31,34,65,18,4,2,84,2885,2021-10-15T22,,
2021-10-12,21,26,56,61,65,4,2,1,87,2898,2021-10-12T22,,
2021-10-08,21,24,36,40,70,22,4,1,79,2896,2021-10-08T22,,
2021-10-05,7,11,18,30,36,4,3,1,93,2900,2021-10-05T22,,
2021-10-01,21,25,36,62,63,6,5,4,81,2911,2021-10-01T22,,
2021-09-28,18,30,43,68,69,22,4,3,78,2892,2021-09-28T22,,
2021-09-24,17,21,27,43,56,15,4,3,75,2900,2021-09-24T22,,
2021-09-21,36,41,45,51,56,13,4,3,90,2896,2021-09-21T22,,
2021-09-17,17,32,40,59,61,18,3,2,84,2904,2021-09-17T22,,
2021-09-14,4,13,19,63,64,16,2,2,82,2894,2021-09-14T22,,
2021-09-10,20,32,35,47,64,18,2,1,59,2905,2021-09-10T22,,
2021-09-07,15,17,25,32,53,12,4,1,87,2887,2021-09-07T22,,
2021-09-03,7,10,12,61,65,3,3,4,66,2898,2021-09-03T22,,
2021-08-31,8,14,31,58,68,15,2,4,90,2860,2021-08-31T22,,
2021-08-27,1,10,44,47,56,23,2,3,79,2908,2021-08-27T22,,
2021-08-24,17,18,26,52,67,19,3,3,74,2897,2021-08-24T22,,
2021-08-20,41,43,51,57,70,1,3,2,85,2887,2021-08-20T22,,
2021-08-17,3,6,16,38,56,24,5,2,87,2896,2021-08-17T22,,
2021-08-13,17,21,35,40,53,11,3,1,74,2905,2021-08-13T22,,
2021-08-10,29,45,50,59,62,12,5,1,74,2907,2021-08-10T22,,
2021-08-06,9,18,40,46,69,9,4,4,74,2902,2021-08-06T22,,
2021-08-03,1,9,17,27,34,24,4,4,87,2890,2021-08-03T22,,
2021-07-30,19,26,31,52,68,10,3,3,72,2892,2021-07-30T22,,
2021-07-27,2,35,36,54,64,11,4,3,85,2893,2021-07-27T22,,
2021-07-23,13,17,19,40,69,17,2,2,85,2900,2021-07-23T22,,
2021-07-20,10,26,30,52,57,10,5,2,88,2890,2021-07-20T22,,
2021-07-16,24,25,47,52,57,24,4,1,82,2904,2021-07-16T22,,
2021-07-13,3,10,17,26,55,24,4,1,82,2918,2021-07-13T22,,
2021-07-09,6,37,39,41,46,17,2,4,76,2904,2021-07-09T22,,
2021-07-06,18,47,63,68,69,14,4,4,94,2905,2021-07-06T22,,
2021-07-02,8,31,32,34,45,19,4,4,88,2880,2021-07-02T22,,
2021-06-29,7,38,50,52,69,21,4,3,69,2915,2021-06-29T22,,
2021-06-25,17,20,42,45,65,12,3,3,64,2908,2021-06-25T22,,
2021-06-22,1,26,48,51,59,25,5,2,70,2895,2021-06-22T22,,
2021-06-18,14,36,44,46,53,18,4,2,67,2897,2021-06-18T22,,
2021-06-15,18,22,27,38,52,11,3,1,51,2888,2021-06-15T22,,
2021-06-11,4,43,56,63,68,13,2,1,84,2881,2021-06-11T22,,
2021-06-08,9,22,39,41,54,19,3,4,87,2908,2021-06-08T22,,
2021-06-04,4,30,34,41,64,8,5,4,67,2898,2021-06-04T22,,
2021-06-01,7,11,33,58,63,23,5,3,55,2907,2021-06-01T22,,
2021-05-28,10,14,20,47,70,15,4,3,90,2879,2021-05-28T22,,
2021-05-25,14,21,31,34,54,11,3,2,58,2909,2021-05-25T22,,
2021-05-21,6,9,17,18,48,8,2,2,59,2929,2021-05-21T22,,
2021-05-18,3,5,56,61,66,4,5,1,66,2915,2021-05-18T22,,
2021-05-14,3,18,41,44,68,3,2,1,52,2914,2021-05-14T22,,
2021-05-11,7,8,20,36,39,22,5,1,68,2899,2021-05-11T22,,
2021-05-07,5,10,19,21,50,10,3,4,55,2898,2021-05-07T22,,
2021-05-04,4,27,32,57,63,22,2,4,90,2879,2021-05-04T22,,
2021-04-30,8,19,26,48,49,5,4,3,58,2895,2021-04-30T22,,
2021-04-27,15,22,30,41,42,25,5,3,73,2903,2021-04-27T22,,
2021-04-23,4,28,29,30,60,25,5,2,41,2895,2021-04-23T22,,
2021-04-20,6,23,43,49,52,5,2,2,54,2885,2021-04-20T22,,
2021-04-16,17,27,28,50,55,25,4,1,49,2878,2021-04-16T22,,
2021-04-13,10,15,19,45,68,9,2,1,45,2898,2021-04-13T22,,
2021-04-09,22,26,27,58,66,12,5,4,84,2884,2021-04-09T22,,
2021-04-06,1,19,20,32,42,17,4,4,45,2897,2021-04-06T22,,
2021-04-02,10,42,48,53,62,19,5,3,40,2926,2021-04-02T22,,
2021-03-30,11,37,47,53,56,15,5,3,73,2909,2021-03-30T22,,
2021-03-26,4,25,37,46,67,15,3,2,79,2905,2021-03-26T22,,
2021-03-23,12,23,35,38,55,11,3,2,73,2891,2021-03-23T22,,
2021-03-19,9,14,40,58,69,8,3,1,51,2915,2021-03-19T22,,
2021-03-16,10,41,46,52,69,8,5,1,93,2896,2021-03-16T22,,
2021-03-12,2,24,25,31,65,18,2,4,52,2921,2021-03-12T22,,
2021-03-09,4,33,46,58,65,13,2,4,35,2934,2021-03-09T22,,
2021-03-05,10,11,17,27,54,20,3,3,27,2897,2021-03-05T22,,
2021-03-02,4,8,13,34,64,18,4,3,82,2900,2021-03-02T22,,
2021-02-26,11,15,37,62,64,5,2,2,93,2906,2021-02-26T22,,
2021-02-23,5,7,9,20,57,15,5,2,45,2900,2021-02-23T22,,
2021-02-19,27,32,47,50,53,4,4,2,55,2919,2021-02-19T22,,
2021-02-16,1,36,44,54,66,10,4,1,68,2905,2021-02-16T22,,
2021-02-12,5,14,24,25,27,14,2,1,92,2897,2021-02-12T22,,
