Date,B1,B2,B3,B4,B5,B6,BB
1/11/2019,4,5,31,62,69,20,3
1/8/2019,13,26,29,38,64,5,3
1/4/2019,21,29,35,54,60,15,4
1/1/2019,34,44,57,62,70,14,4
12/28/2018,9,10,25,37,38,21,4
12/25/2018,2,8,42,43,50,6,3
12/21/2018,10,13,61,62,70,5,4
12/18/2018,13,22,32,60,69,9,2
12/14/2018,5,22,26,43,49,23,5
12/11/2018,4,38,39,54,59,12,3
12/7/2018,4,10,20,33,57,13,5
12/4/2018,28,31,41,42,50,4,2
11/30/2018,25,28,40,43,63,19,2
11/27/2018,12,24,37,42,57,18,2
11/23/2018,7,10,30,33,59,23,5
11/20/2018,10,16,31,42,66,10,4
11/16/2018,33,36,63,68,69,16,4
11/13/2018,34,46,57,65,69,11,5
11/9/2018,8,14,27,57,67,5,2
11/6/2018,28,34,37,56,69,12,2
11/2/2018,3,23,28,46,62,16,3
10/30/2018,20,31,39,46,49,23,5
10/26/2018,1,28,61,62,63,5,4
10/23/2018,5,28,62,65,70,5,5
10/19/2018,15,23,53,65,70,7,3
10/16/2018,3,45,49,61,69,9,2
10/12/2018,4,24,46,61,70,7,4
10/9/2018,20,22,39,54,60,18,2
10/5/2018,27,28,32,41,69,12,2
10/2/2018,2,22,29,31,34,1,4
9/28/2018,39,45,52,56,59,15,3
9/25/2018,8,16,32,48,61,12,4
9/21/2018,1,2,11,52,64,9,3
9/18/2018,31,32,43,63,68,17,5
9/14/2018,23,30,40,43,66,13,4
9/11/2018,15,30,51,62,67,19,3
9/7/2018,8,10,41,54,68,10,5
9/4/2018,2,7,25,35,44,3,2
8/31/2018,7,18,29,32,45,17,3
8/28/2018,3,20,33,34,41,20,4
8/24/2018,1,6,13,18,49,8,2
8/21/2018,14,16,19,38,57,11,4
8/17/2018,1,31,32,47,56,3,2
8/14/2018,11,26,44,45,46,11,3
8/10/2018,1,3,12,22,42,6,5
8/7/2018,2,13,15,21,62,2,5
8/3/2018,9,28,30,54,60,2,4
7/31/2018,12,15,35,64,69,9,2
7/27/2018,1,32,40,49,63,20,5
7/24/2018,1,2,4,19,29,20,2
7/20/2018,1,14,30,44,62,1,2
7/17/2018,40,41,61,66,67,12,3
7/13/2018,21,22,39,59,68,2,3
7/10/2018,1,17,28,56,70,14,4
7/6/2018,2,10,46,50,56,16,3
7/3/2018,13,35,45,49,68,23,2
6/29/2018,2,32,47,49,68,23,4
6/26/2018,17,25,29,39,60,19,5
6/22/2018,2,6,11,27,44,20,3
6/19/2018,11,13,28,65,70,14,2
6/15/2018,1,11,37,47,51,6,4
6/12/2018,1,3,5,8,70,3,3
6/8/2018,14,30,33,44,56,13,3
6/5/2018,22,33,41,48,52,4,5
6/1/2018,5,24,52,62,66,17,4
5/29/2018,2,11,55,58,67,2,3
5/25/2018,11,14,51,64,68,25,3
5/22/2018,16,17,21,36,48,9,5
5/18/2018,9,26,53,64,66,11,5
5/15/2018,21,34,44,49,61,21,4
5/11/2018,14,38,40,53,70,22,5
5/8/2018,8,15,39,64,67,13,4
5/4/2018,4,5,10,12,18,21,4
5/1/2018,2,7,20,55,70,1,4
4/27/2018,2,29,38,63,66,11,5
4/24/2018,3,19,31,32,48,10,4
4/20/2018,1,15,18,32,45,4,5
4/17/2018,12,34,44,47,65,22,3
4/13/2018,8,9,32,42,59,10,3
4/10/2018,5,13,31,43,53,20,3
4/6/2018,16,33,51,54,67,20,3
